0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:09 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 6093
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:09 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:12 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 6093
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:12 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:12 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 6093
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:12 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:12 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 6093
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:12 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:17 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 6093
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:18 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:18 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 6093
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:18 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:18 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 6093
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:18 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:18 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 6093
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:18 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:18 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 6093
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:18 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:18 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 6093
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:19 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:19 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 6093
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:19 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:19 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 6093
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:19 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:19 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 6093
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:19 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
